review_id,customer_id,submitted_date,flown_date,origin_location_id,destination_location_id,transit_location_id,aircraft_id,airline,verified,seat_type,type_of_traveller,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,average_rating,rating_band,el_updated_at,t_updated_at
121752,57716,4/9/2022,4/1/2022,2857,4049,4740,42,American Airlines,TRUE,Economy Class,Family Leisure,2,1,1,3,1,3,1,FALSE,1.71,bad,36:29.0,18:17.5
124285,57727,6/18/2022,7/1/2021,1890,834,4740,42,American Airlines,TRUE,Economy Class,Family Leisure,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
93171,58067,3/26/2019,3/1/2019,834,4430,4740,42,American Airlines,TRUE,Economy Class,Solo Leisure,5,5,5,5,5,5,5,TRUE,5,good,36:29.0,18:17.5
105757,58089,12/31/2019,12/1/2019,972,2325,4740,42,American Airlines,FALSE,Economy Class,Solo Leisure,3,3,3,Null,3,Null,1,FALSE,2.6,medium,36:29.0,18:17.5
149891,58120,6/14/2024,5/1/2024,2584,1092,4740,42,American Airlines,FALSE,Economy Class,Couple Leisure,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
138581,58132,6/4/2023,6/1/2023,834,635,4740,42,American Airlines,TRUE,Economy Class,Solo Leisure,3,3,2,3,2,2,2,FALSE,2.43,medium,36:29.0,18:17.5
59309,58294,10/7/2016,10/1/2016,4429,4883,4740,42,American Airlines,FALSE,Economy Class,Family Leisure,Null,Null,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
92598,58402,3/12/2019,2/1/2019,1092,834,2086,42,American Airlines,TRUE,Economy Class,Business,1,2,1,Null,2,Null,1,FALSE,1.4,bad,36:29.0,18:17.5
51885,58475,2/26/2016,2/1/2016,3294,1249,4740,42,American Airlines,FALSE,Business Class,Business,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
119864,58844,2/19/2022,2/1/2022,2329,1092,4740,42,American Airlines,TRUE,Economy Class,Family Leisure,3,3,3,Null,1,Null,1,FALSE,2.2,medium,36:29.0,18:17.5
117219,58898,10/17/2021,10/1/2021,357,319,2857,42,American Airlines,FALSE,Economy Class,Couple Leisure,3,2,3,4,1,5,1,FALSE,2.71,medium,36:29.0,18:17.5
86235,58909,10/10/2018,3/1/2018,319,2857,4740,42,American Airlines,TRUE,Economy Class,Solo Leisure,Null,Null,Null,Null,5,Null,5,TRUE,5,good,36:29.0,18:17.5
113872,59011,6/10/2021,6/1/2021,2584,3971,1147,42,American Airlines,FALSE,Premium Economy,Solo Leisure,3,5,1,5,1,1,1,FALSE,2.43,medium,36:29.0,18:17.5
99749,59342,8/16/2019,8/1/2019,864,2857,4740,42,American Airlines,TRUE,Economy Class,Solo Leisure,3,1,Null,Null,1,Null,1,FALSE,1.5,bad,36:29.0,18:17.5
51837,59362,2/25/2016,4/1/2015,3104,2857,4740,42,American Airlines,FALSE,Economy Class,Couple Leisure,4,4,Null,1,4,Null,4,TRUE,3.4,medium,36:29.0,18:17.5
51838,59362,2/25/2016,10/1/2015,1976,628,864,32,American Airlines,FALSE,Business Class,Business,4,3,3,2,1,Null,3,FALSE,2.67,medium,36:29.0,18:17.5
123887,59411,6/8/2022,6/1/2022,1092,4884,4740,42,American Airlines,FALSE,Business Class,Couple Leisure,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
83222,59458,8/5/2018,7/1/2018,4932,834,4740,42,American Airlines,TRUE,Economy Class,Business,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
43352,59469,8/24/2015,8/1/2015,3974,157,1092,32,American Airlines,FALSE,Economy Class,Couple Leisure,3,4,3,4,2,2,4,TRUE,3.14,medium,36:29.0,18:17.5
